,loss,accuracy,val_loss,val_accuracy,lr
0,0.6436751484870911,0.7263333201408386,0.33430927991867065,0.8863636255264282,1e-04
1,0.3759255111217499,0.8460000157356262,0.2909533679485321,0.9034090638160706,1e-04
2,0.30921271443367004,0.8809999823570251,0.26351645588874817,0.9034090638160706,1e-04
3,0.2648236155509949,0.8970000147819519,0.25033900141716003,0.9204545617103577,1e-04
4,0.23592494428157806,0.9104999899864197,0.25846970081329346,0.9147727489471436,1e-04
5,0.2108999490737915,0.9211666584014893,0.24568215012550354,0.9204545617103577,1e-04
6,0.18724289536476135,0.9308333396911621,0.24516057968139648,0.9090909361839294,5e-05
7,0.1806642711162567,0.9319999814033508,0.2453635185956955,0.9261363744735718,5e-05
8,0.17169412970542908,0.9398333430290222,0.2619832754135132,0.9090909361839294,5e-05
9,0.16509582102298737,0.9411666393280029,0.26086583733558655,0.9147727489471436,5e-05
10,0.15396037697792053,0.9456666707992554,0.2659715712070465,0.9147727489471436,2.5e-05
11,0.14908753335475922,0.949999988079071,0.2508387267589569,0.9204545617103577,2.5e-05
12,0.13994818925857544,0.9524999856948853,0.2441083937883377,0.9261363744735718,1.25e-05
13,0.1371505707502365,0.9541666507720947,0.2626321017742157,0.9204545617103577,1.25e-05
14,0.13880500197410583,0.952833354473114,0.2572374641895294,0.9204545617103577,6.25e-06
15,0.1362789422273636,0.9526666402816772,0.26175203919410706,0.9204545617103577,6.25e-06
16,0.1365916132926941,0.9551666378974915,0.25958654284477234,0.9204545617103577,3.125e-06
17,0.13650402426719666,0.9549999833106995,0.2597632110118866,0.9204545617103577,3.125e-06
18,0.13051621615886688,0.9570000171661377,0.26167187094688416,0.9204545617103577,1.5625e-06
19,0.13455452024936676,0.9548333287239075,0.2628587484359741,0.9204545617103577,1.5625e-06
20,0.13055290281772614,0.9570000171661377,0.26211264729499817,0.9204545617103577,1e-06
21,0.13109302520751953,0.9566666483879089,0.2606745958328247,0.9204545617103577,1e-06
22,0.13086450099945068,0.9553333520889282,0.26091280579566956,0.9204545617103577,1e-06
23,0.13092875480651855,0.9578333497047424,0.2632558345794678,0.9204545617103577,1e-06
24,0.1338982880115509,0.9541666507720947,0.2525734603404999,0.9261363744735718,1e-06
